length,best_val_loss,test_loss,test_mae,test_corr,epochs,batch_size,lr,weight_decay,timestamp
600,0.000191,0.000698,0.000698,0.854828,200,16,5e-05,1e-06,2025-11-07T14:23:02.641039Z
800,0.000129,0.000335,0.000335,0.929356,200,16,5e-05,1e-06,2025-11-07T15:33:31.030376Z
1000,0.000097,0.000209,0.000209,0.948250,200,16,5e-05,1e-06,2025-11-07T16:43:26.766210Z
