exp_name,train_size,val_size,test_size,epochs,batch_size,lr,weight_decay,loss_type,best_val_loss,test_loss,test_mae,test_corr,timestamp
train_360_test_48,360,380,48,200,16,5e-05,1e-06,l1,0.000114,0.000106,0.000106,0.927309,2025-11-06T17:30:04.298766Z
train_180_test_48,180,560,48,200,16,5e-05,1e-06,l1,0.000118,0.000116,0.000116,0.912753,2025-11-06T18:31:53.036590Z
